Wall time,Step,Value
1713743659.7385104,222720,1892.989990234375
1713743674.9895587,225280,1892.989990234375
1713743690.058911,227840,1892.989990234375
1713743705.9811037,230400,1877.06005859375
1713743721.8408523,232960,1876.780029296875
1713743736.8726106,235520,1876.0
1713743752.7084646,238080,1867.3399658203125
1713743767.7545938,240640,1867.3399658203125
1713743783.5577295,243200,1875.4599609375
1713743798.6091232,245760,1875.4599609375
1713743813.6809645,248320,1875.4599609375
1713743829.560808,250880,1863.27001953125
1713743844.5419943,253440,1863.27001953125
1713743859.767484,256000,1863.27001953125
1713743875.5291748,258560,1863.27001953125
1713743890.6035194,261120,1863.27001953125
1713743905.8161833,263680,1863.27001953125
1713743921.1483784,266240,1863.27001953125
1713743937.7403452,268800,1844.6400146484375
1713743952.9722655,271360,1844.6400146484375
1713743968.725225,273920,1822.3199462890625
1713743985.582946,276480,1804.4200439453125
1713744000.654662,279040,1804.4200439453125
1713744015.8556864,281600,1821.81005859375
1713744030.8735871,284160,1821.81005859375
1713744046.7916403,286720,1821.81005859375
1713744062.6990936,289280,1818.0999755859375
1713744077.7851593,291840,1818.0999755859375
1713744092.9441304,294400,1818.0999755859375
1713744108.6791742,296960,1815.8399658203125
1713744123.7456295,299520,1815.8399658203125
1713744138.714284,302080,1815.8399658203125
1713744153.9190896,304640,1815.8399658203125
1713744169.8379915,307200,1815.8399658203125
1713744185.023601,309760,1815.8399658203125
1713744200.0419238,312320,1815.8399658203125
1713744215.3313704,314880,1815.8399658203125
1713744231.249978,317440,1815.8399658203125
1713744247.0556552,320000,1798.3399658203125
1713744262.1198213,322560,1798.3399658203125
1713744277.2191317,325120,1798.3399658203125
1713744292.2729146,327680,1798.3399658203125
1713744308.3236125,330240,1780.8900146484375
1713744324.2416918,332800,1785.31005859375
1713744339.3918176,335360,1785.31005859375
1713744354.5247185,337920,1785.31005859375
1713744370.3822296,340480,1771.199951171875
1713744385.431281,343040,1771.199951171875
1713744401.9934788,345600,1758.9100341796875
1713744417.9732203,348160,1743.719970703125
1713744433.1979778,350720,1743.719970703125
1713744448.195629,353280,1743.719970703125
1713744464.083972,355840,1749.27001953125
1713744479.9960577,358400,1721.47998046875
1713744494.9083462,360960,1721.47998046875
1713744510.7502801,363520,1738.81005859375
1713744526.0174983,366080,1738.81005859375
1713744541.270497,368640,1738.81005859375
1713744557.1911454,371200,1755.1600341796875
1713744573.1521704,373760,1740.030029296875
1713744589.197032,376320,1723.199951171875
1713744604.3420792,378880,1718.6800537109375
1713744620.2818565,381440,1706.449951171875
1713744635.2820854,384000,1706.449951171875
1713744650.3257267,386560,1706.449951171875
1713744666.1341097,389120,1724.0
1713744681.1735096,391680,1724.0
1713744696.215399,394240,1723.5899658203125
1713744712.1182125,396800,1745.1099853515625
1713744727.8728144,399360,1727.6199951171875
1713744743.013783,401920,1727.6199951171875
1713744758.0855992,404480,1743.550048828125
1713744773.0570936,407040,1743.550048828125
1713744788.8995674,409600,1744.6099853515625
1713744804.7886145,412160,1735.699951171875
1713744820.6414468,414720,1727.239990234375
1713744835.8582962,417280,1727.239990234375
1713744851.7014694,419840,1709.8499755859375
1713744867.5887501,422400,1706.8900146484375
1713744883.4718676,424960,1689.2099609375
1713744899.4485505,427520,1689.2099609375
1713744915.5610888,430080,1675.3399658203125
1713744931.4322038,432640,1658.6500244140625
1713744946.740373,435200,1676.1099853515625
1713744961.9166381,437760,1677.280029296875
1713744977.8090158,440320,1682.199951171875
1713744992.9338605,442880,1688.7099609375
1713745008.7640722,445440,1698.969970703125
1713745023.986916,448000,1709.47998046875
1713745039.298295,450560,1709.47998046875
1713745054.4301903,453120,1709.47998046875
1713745070.3605406,455680,1709.47998046875
1713745085.3749378,458240,1706.52001953125
1713745101.278397,460800,1706.56005859375
1713745116.9789903,463360,1692.6099853515625
1713745132.8767822,465920,1678.22998046875
1713745148.9582806,468480,1671.06005859375
1713745164.3979402,471040,1671.06005859375
1713745179.482426,473600,1665.0899658203125
1713745195.5585475,476160,1664.3800048828125
1713745211.5424864,478720,1651.93994140625
1713745227.4874315,481280,1635.9000244140625
1713745242.581811,483840,1624.3699951171875
1713745259.1013038,486400,1624.3499755859375
1713745274.1463432,488960,1624.3499755859375
1713745289.205838,491520,1624.3499755859375
1713745304.366519,494080,1641.800048828125
1713745320.2888079,496640,1638.0999755859375
1713745335.2655103,499200,1638.0999755859375
1713745350.4575255,501760,1638.0999755859375
1713745366.1172984,504320,1639.1199951171875
1713745382.7124605,506880,1631.1800537109375
1713745397.7198455,509440,1639.449951171875
1713745413.4933712,512000,1645.280029296875
1713745428.5767612,514560,1645.280029296875
1713745443.7086346,517120,1645.280029296875
1713745458.8390524,519680,1645.280029296875
1713745474.8821278,522240,1651.0999755859375
1713745489.9317503,524800,1661.260009765625
1713745505.8435714,527360,1657.8699951171875
1713745520.8784199,529920,1657.8699951171875
1713745535.921274,532480,1657.8699951171875
1713745552.4784625,535040,1638.93994140625
1713745567.6768057,537600,1654.0699462890625
1713745583.2856107,540160,1642.739990234375
1713745598.9863095,542720,1639.18994140625
1713745614.1539078,545280,1645.81005859375
1713745630.003172,547840,1634.949951171875
1713745645.9837942,550400,1634.949951171875
1713745661.0331445,552960,1634.949951171875
1713745676.1777506,555520,1634.949951171875
1713745691.0641508,558080,1636.8900146484375
1713745706.859828,560640,1638.18994140625
1713745721.9924664,563200,1638.18994140625
1713745737.6661518,565760,1638.0699462890625
1713745752.6690931,568320,1638.0699462890625
1713745768.7060056,570880,1638.0699462890625
1713745783.892269,573440,1638.0699462890625
1713745799.1527684,576000,1638.0699462890625
1713745815.9803019,578560,1642.050048828125
1713745831.1263475,581120,1642.050048828125
1713745847.0108025,583680,1654.1199951171875
1713745862.8450792,586240,1651.5999755859375
